CREATED AT 2026/06/29 12:33:34 FOR 2026/06/30
Delivery Hour,Pricing Location,LMP,Energy Loss Price,Energy Congestion Price
1,ABITIBISF-LT.AG_T1,44.03,-0.97,0.00
2,ABITIBISF-LT.AG_T1,36.54,-0.91,0.00
3,ABITIBISF-LT.AG_T1,36.56,-0.91,0.00
4,ABITIBISF-LT.AG_T1,36.87,-0.70,0.00
5,ABITIBISF-LT.AG_T1,41.10,-1.11,0.00
6,ABITIBISF-LT.AG_T1,38.23,-1.26,0.00
7,ABITIBISF-LT.AG_T1,47.26,-5.34,0.00
8,ABITIBISF-LT.AG_T1,50.08,-6.51,0.00
9,ABITIBISF-LT.AG_T1,49.28,-6.95,0.00
10,ABITIBISF-LT.AG_T1,56.31,-9.07,0.00
11,ABITIBISF-LT.AG_T1,56.98,-12.02,0.00
12,ABITIBISF-LT.AG_T1,63.79,-15.18,0.00
13,ABITIBISF-LT.AG_T1,69.83,-17.32,0.00
14,ABITIBISF-LT.AG_T1,70.22,-19.24,0.00
15,ABITIBISF-LT.AG_T1,70.15,-26.09,-11.90
16,ABITIBISF-LT.AG_T1,40.08,-32.65,-62.27
17,ABITIBISF-LT.AG_T1,17.74,-37.64,-100.24
18,ABITIBISF-LT.AG_T1,37.46,-46.99,-112.19
19,ABITIBISF-LT.AG_T1,63.16,-54.82,-120.81
20,ABITIBISF-LT.AG_T1,186.56,-52.24,0.00
21,ABITIBISF-LT.AG_T1,118.12,-32.13,0.00
22,ABITIBISF-LT.AG_T1,111.14,-23.78,0.00
23,ABITIBISF-LT.AG_T1,52.79,-6.55,0.00
24,ABITIBISF-LT.AG_T1,56.67,-2.95,0.00
1,ABKENORA-LT.AG,8.98,-5.35,-30.67
2,ABKENORA-LT.AG,8.40,-4.25,-24.80
3,ABKENORA-LT.AG,8.39,-4.80,-24.29
4,ABKENORA-LT.AG,8.39,-4.70,-24.48
5,ABKENORA-LT.AG,8.58,-5.47,-28.15
6,ABKENORA-LT.AG,8.34,-5.27,-25.88
7,ABKENORA-LT.AG,9.26,-8.36,-34.98
8,ABKENORA-LT.AG,9.65,-9.39,-37.55
9,ABKENORA-LT.AG,9.63,-9.99,-36.62
10,ABKENORA-LT.AG,10.37,-10.99,-44.02
11,ABKENORA-LT.AG,8.60,-13.08,-47.31
12,ABKENORA-LT.AG,36.97,-14.71,-27.28
13,ABKENORA-LT.AG,11.11,-15.30,-60.73
14,ABKENORA-LT.AG,9.45,-15.89,-64.12
15,ABKENORA-LT.AG,10.28,-18.10,-79.76
16,ABKENORA-LT.AG,11.51,-21.46,-102.03
17,ABKENORA-LT.AG,12.46,-26.04,-117.11
18,ABKENORA-LT.AG,14.17,-31.95,-150.53
19,ABKENORA-LT.AG,16.38,-42.74,-179.68
20,ABKENORA-LT.AG,16.28,-39.97,-182.55
21,ABKENORA-LT.AG,12.22,-26.69,-111.34
22,ABKENORA-LT.AG,11.65,-25.59,-97.69
23,ABKENORA-LT.AG,48.23,-11.09,-0.01
24,ABKENORA-LT.AG,10.09,-8.97,-40.56
1,ABRASIVE-LT.T1_LF_DRA,44.42,-0.58,0.00
2,ABRASIVE-LT.T1_LF_DRA,37.56,0.11,0.00
3,ABRASIVE-LT.T1_LF_DRA,37.74,0.26,0.00
4,ABRASIVE-LT.T1_LF_DRA,37.61,0.04,0.00
5,ABRASIVE-LT.T1_LF_DRA,42.13,-0.08,0.00
