ENTITY_NAME,RESOURCE_TYPE,ZONE_NAME
GERDAUWBY-LT.LFA,LOAD,Toronto
GERDAUCAM-LT.LFA,LOAD,Southwest
STELCO-LT.T1_LF,LOAD,Southwest
RIVERGOLD-LT.T1_LF,LOAD,Northeast
IVACO-LT.LFQ,LOAD,Ottawa
ABRASIVE-LT.T1_LF_DRA,LOAD,Niagara
ALLANBURG-LT.ENERCORP_DRA,LOAD,Niagara
ALLANBURG-LT.ENERNOC_DRA,LOAD,Niagara
ALLANBURG-LT.ENPOWINC_DRA,LOAD,Niagara
ALLANBURG-LT.NRGCS_DRA,LOAD,Niagara
ALLANBURG-LT.NRSTORCI_DRA,LOAD,Niagara
ALLANBURG-LT.RODANCI_DRA,LOAD,Niagara
ALLANBURG-LT.VOLTUS_DRA,LOAD,Niagara
BASINRSVC1-LT.BATT_LF,LOAD,Toronto
BASINRSVC2-LT.BATT_LF,LOAD,Toronto
BECK2PGS-LT.APG123_LF,LOAD,Niagara
BECK2PGS-LT.APG456_LF,LOAD,Niagara
BIRMINGHAM-LT.ALIQ_LF1,LOAD,Southwest
BIRMINGHAM-LT.ALIQ_LF2,LOAD,Southwest
BRUCEHWB-LT.T7_LF,LOAD,Bruce
BRUCE-LT.VOLTUS_DRA,LOAD,Bruce
CHATHAM-LT.EDGECOM_DRA,LOAD,West
CHATHAM-LT.EEC_DRA,LOAD,West
CHATHAM-LT.ENERCORP_DRA,LOAD,West
CHATHAM-LT.ENERNOC_DRA,LOAD,West
CHATHAM-LT.ENPOWINC_DRA,LOAD,West
CHATHAM-LT.GCPROJECT_DRA,LOAD,West
CHATHAM-LT.NRGCS_DRA,LOAD,West
CHATHAM-LT.NRSTORCI_DRA,LOAD,West
CHATHAM-LT.RODANBTM_DRA,LOAD,West
CHATHAM-LT.VOLTUS_DRA,LOAD,West
CHERRYWOOD-LT.ASHGROVE_DRA,LOAD,Toronto
CHERRYWOOD-LT.DEMAND_DRA,LOAD,Toronto
CHERRYWOOD-LT.EDGECOM_DRA,LOAD,Toronto
CHERRYWOOD-LT.ENERCORP_DRA,LOAD,Toronto
CHERRYWOOD-LT.ENERNOC_DRA,LOAD,Toronto
CHERRYWOOD-LT.ENPOWINC_DRA,LOAD,Toronto
CHERRYWOOD-LT.GCPOWER_DRA,LOAD,Toronto
CHERRYWOOD-LT.GCPROJECT_DRA,LOAD,Toronto
CHERRYWOOD-LT.NRGCS_DRA,LOAD,Toronto
CHERRYWOOD-LT.NRSTORCI_DRA,LOAD,Toronto
CHERRYWOOD-LT.OHMCONECT_DRA,LOAD,Toronto
CHERRYWOOD-LT.RODANBTM_DRA,LOAD,Toronto
CHERRYWOOD-LT.RODANCI_DRA,LOAD,Toronto
CHERRYWOOD-LT.SOBEYSCI_DRA,LOAD,Toronto
CHERRYWOOD-LT.STEM_DRA,LOAD,Toronto
CHERRYWOOD-LT.VOLTUS_DRA,LOAD,Toronto
