CREATED AT 2026/06/30 00:37:27 FOR 2026/06/30
Delivery Hour,Interval,Pricing Location,LMP,Energy Loss Price,Energy Congestion Price
1,1,ABITIBISF-LT.AG_T1,36.27,-1.12,0.00
1,2,ABITIBISF-LT.AG_T1,35.83,-1.11,0.00
1,3,ABITIBISF-LT.AG_T1,34.00,-1.05,0.00
1,4,ABITIBISF-LT.AG_T1,33.81,-1.05,0.00
1,5,ABITIBISF-LT.AG_T1,33.25,-1.03,0.00
1,6,ABITIBISF-LT.AG_T1,33.74,-1.05,0.00
1,7,ABITIBISF-LT.AG_T1,35.22,-1.09,0.00
1,8,ABITIBISF-LT.AG_T1,34.92,-1.08,0.00
1,9,ABITIBISF-LT.AG_T1,35.21,-1.09,0.00
1,1,ABKENORA-LT.AG,8.61,-2.77,-26.01
1,2,ABKENORA-LT.AG,5.87,-2.74,-28.34
1,3,ABKENORA-LT.AG,5.89,-2.60,-26.56
1,4,ABKENORA-LT.AG,5.83,-2.58,-26.44
1,5,ABKENORA-LT.AG,5.90,-2.54,-25.84
1,6,ABKENORA-LT.AG,5.91,-2.58,-26.30
1,7,ABKENORA-LT.AG,5.93,-2.69,-27.69
1,8,ABKENORA-LT.AG,5.93,-2.67,-27.41
1,9,ABKENORA-LT.AG,5.93,-2.69,-27.69
1,1,ABRASIVE-LT.T1_LF_DRA,37.62,0.23,0.00
1,2,ABRASIVE-LT.T1_LF_DRA,37.16,0.22,0.00
1,3,ABRASIVE-LT.T1_LF_DRA,35.26,0.21,0.00
1,4,ABRASIVE-LT.T1_LF_DRA,35.07,0.21,0.00
1,5,ABRASIVE-LT.T1_LF_DRA,34.49,0.21,0.00
1,6,ABRASIVE-LT.T1_LF_DRA,34.99,0.21,0.00
1,7,ABRASIVE-LT.T1_LF_DRA,36.53,0.22,0.00
1,8,ABRASIVE-LT.T1_LF_DRA,36.22,0.22,0.00
1,9,ABRASIVE-LT.T1_LF_DRA,36.53,0.22,0.00
1,1,ADAMSBLVD-LT.L1_LF,37.43,0.04,0.00
1,2,ADAMSBLVD-LT.L1_LF,36.97,0.04,0.00
1,3,ADAMSBLVD-LT.L1_LF,35.09,0.04,0.00
1,4,ADAMSBLVD-LT.L1_LF,34.89,0.03,0.00
1,5,ADAMSBLVD-LT.L1_LF,34.32,0.03,0.00
1,6,ADAMSBLVD-LT.L1_LF,34.82,0.03,0.00
1,7,ADAMSBLVD-LT.L1_LF,36.34,0.04,0.00
1,8,ADAMSBLVD-LT.L1_LF,36.04,0.04,0.00
1,9,ADAMSBLVD-LT.L1_LF,36.34,0.04,0.00
1,1,ADELAIDE-LT.AG_T1,36.24,-1.16,0.00
1,2,ADELAIDE-LT.AG_T1,35.79,-1.15,0.00
1,3,ADELAIDE-LT.AG_T1,33.96,-1.09,0.00
1,4,ADELAIDE-LT.AG_T1,33.78,-1.08,0.00
1,5,ADELAIDE-LT.AG_T1,33.22,-1.06,0.00
1,6,ADELAIDE-LT.AG_T1,33.70,-1.08,0.00
1,7,ADELAIDE-LT.AG_T1,35.18,-1.13,0.00
1,8,ADELAIDE-LT.AG_T1,34.88,-1.12,0.00
1,9,ADELAIDE-LT.AG_T1,35.18,-1.13,0.00
1,1,AGIMAKDS-LT.TT_LF,8.68,-2.71,-26.01
1,2,AGIMAKDS-LT.TT_LF,5.93,-2.67,-28.34
1,3,AGIMAKDS-LT.TT_LF,5.95,-2.54,-26.56
1,4,AGIMAKDS-LT.TT_LF,5.89,-2.52,-26.44
1,5,AGIMAKDS-LT.TT_LF,8.44,-2.48,-23.36
1,6,AGIMAKDS-LT.TT_LF,8.51,-2.52,-23.76
1,7,AGIMAKDS-LT.TT_LF,33.68,-2.63,0.00
1,8,AGIMAKDS-LT.TT_LF,8.60,-2.60,-24.80
1,9,AGIMAKDS-LT.TT_LF,8.62,-2.63,-25.06
1,1,AGINCOURT-LT.LFBY,37.29,-0.11,0.00
1,2,AGINCOURT-LT.LFBY,36.83,-0.11,0.00
1,3,AGINCOURT-LT.LFBY,34.95,-0.10,0.00
1,4,AGINCOURT-LT.LFBY,34.75,-0.10,0.00
1,5,AGINCOURT-LT.LFBY,34.18,-0.10,0.00
1,6,AGINCOURT-LT.LFBY,34.68,-0.10,0.00
1,7,AGINCOURT-LT.LFBY,36.20,-0.11,0.00
1,8,AGINCOURT-LT.LFBY,35.89,-0.11,0.00
1,9,AGINCOURT-LT.LFBY,36.20,-0.11,0.00
1,1,AGUASABON-LT.AG12,-100.00,-5.10,-132.29
1,2,AGUASABON-LT.AG12,-100.00,-5.04,-131.90
1,3,AGUASABON-LT.AG12,-100.00,-4.78,-130.27
1,4,AGUASABON-LT.AG12,-100.00,-4.76,-130.10
1,5,AGUASABON-LT.AG12,-100.00,-4.68,-129.61
1,6,AGUASABON-LT.AG12,-100.00,-4.75,-130.04
1,7,AGUASABON-LT.AG12,-100.00,-4.95,-131.35
1,8,AGUASABON-LT.AG12,-100.00,-4.91,-131.09
1,9,AGUASABON-LT.AG12,-100.00,-4.95,-131.35
1,1,ALANBRG28KV-LT_H1,37.40,0.00,0.00
1,2,ALANBRG28KV-LT_H1,36.94,0.00,0.00
1,3,ALANBRG28KV-LT_H1,35.05,0.00,0.00
1,4,ALANBRG28KV-LT_H1,34.86,0.00,0.00
1,5,ALANBRG28KV-LT_H1,34.28,0.00,0.00
1,6,ALANBRG28KV-LT_H1,34.78,0.00,0.00
1,7,ALANBRG28KV-LT_H1,36.31,0.00,0.00
1,8,ALANBRG28KV-LT_H1,36.00,0.00,0.00
1,9,ALANBRG28KV-LT_H1,36.31,0.00,0.00
1,1,ALBION-LT.LFBJQY,39.12,1.72,0.00
1,2,ALBION-LT.LFBJQY,38.64,1.70,0.00
1,3,ALBION-LT.LFBJQY,36.66,1.61,0.00
1,4,ALBION-LT.LFBJQY,36.46,1.60,0.00
1,5,ALBION-LT.LFBJQY,35.86,1.58,0.00
1,6,ALBION-LT.LFBJQY,36.38,1.60,0.00
1,7,ALBION-LT.LFBJQY,37.98,1.67,0.00
1,8,ALBION-LT.LFBJQY,37.66,1.66,0.00
1,9,ALBION-LT.LFBJQY,37.98,1.67,0.00
1,1,ALCOCAN-LT.TT1_LF,38.16,0.76,0.00
1,2,ALCOCAN-LT.TT1_LF,37.69,0.75,0.00
1,3,ALCOCAN-LT.TT1_LF,35.77,0.72,0.00
1,4,ALCOCAN-LT.TT1_LF,35.57,0.71,0.00
1,5,ALCOCAN-LT.TT1_LF,34.98,0.70,0.00
1,6,ALCOCAN-LT.TT1_LF,35.49,0.71,0.00
1,7,ALCOCAN-LT.TT1_LF,37.05,0.74,0.00
1,8,ALCOCAN-LT.TT1_LF,36.73,0.73,0.00
1,9,ALCOCAN-LT.TT1_LF,37.05,0.74,0.00
1,1,ALEXANDER-LT.AG_T1,-100.00,-5.30,-132.10
1,2,ALEXANDER-LT.AG_T1,-100.00,-5.23,-131.71
1,3,ALEXANDER-LT.AG_T1,-100.00,-4.96,-130.09
1,4,ALEXANDER-LT.AG_T1,-100.00,-4.94,-129.92
1,5,ALEXANDER-LT.AG_T1,-100.00,-4.86,-129.43
1,6,ALEXANDER-LT.AG_T1,-100.00,-4.93,-129.86
1,7,ALEXANDER-LT.AG_T1,-100.00,-5.14,-131.17
1,8,ALEXANDER-LT.AG_T1,-100.00,-5.10,-130.90
1,9,ALEXANDER-LT.AG_T1,-100.00,-5.14,-131.16
1,1,ALEXANDER-LT.AG_T2,-100.00,-5.30,-132.10
1,2,ALEXANDER-LT.AG_T2,-100.00,-5.23,-131.71
1,3,ALEXANDER-LT.AG_T2,-100.00,-4.96,-130.09
1,4,ALEXANDER-LT.AG_T2,-100.00,-4.94,-129.92
1,5,ALEXANDER-LT.AG_T2,-100.00,-4.86,-129.43
