Base Year,Rank,Date,Hour Ending (EST),Value,Metric
2010-2011,1,2010-07-07,16,24456.468,AQEW_MWh
2010-2011,2,2010-07-08,15,24432.434,AQEW_MWh
2010-2011,3,2010-08-31,16,24010.299,AQEW_MWh
2010-2011,4,2010-07-06,16,23914.747,AQEW_MWh
2010-2011,5,2010-09-01,16,23822.773,AQEW_MWh
2011-2012,1,2011-07-21,16,24706.556,AQEW_MWh
2011-2012,2,2011-07-20,17,23720.265,AQEW_MWh
2011-2012,3,2011-07-18,16,23151.788,AQEW_MWh
2011-2012,4,2011-07-19,17,22517.184,AQEW_MWh
2011-2012,5,2011-07-22,12,22401.165,AQEW_MWh
2012-2013,1,2012-07-17,16,23953.751,AQEW_MWh
2012-2013,2,2012-07-04,17,23355.412,AQEW_MWh
2012-2013,3,2012-06-20,16,23238.928,AQEW_MWh
2012-2013,4,2012-07-23,14,23059.72,AQEW_MWh
2012-2013,5,2012-07-06,16,22991.191,AQEW_MWh
2013-2014,1,2013-07-17,17,24141.286,AQEW_MWh
2013-2014,2,2013-07-16,17,23551.148,AQEW_MWh
2013-2014,3,2013-07-18,17,23503.678,AQEW_MWh
2013-2014,4,2013-07-19,14,23234.069,AQEW_MWh
2013-2014,5,2013-07-15,17,23106.646,AQEW_MWh
2014-2015,1,2015-01-07,19,21118.57,AQEW_MWh
2014-2015,2,2015-02-19,20,20976.264,AQEW_MWh
2014-2015,3,2014-08-26,17,20967.233,AQEW_MWh
2014-2015,4,2015-02-23,20,20862.399,AQEW_MWh
2014-2015,5,2014-09-05,17,20830.888,AQEW_MWh
2015-2016,1,2015-07-28,17,22015.634,AQEW_MWh
2015-2016,2,2015-07-29,17,21899.846,AQEW_MWh
2015-2016,3,2015-08-17,17,21882.182,AQEW_MWh
2015-2016,4,2015-07-27,18,21561.628,AQEW_MWh
2015-2016,5,2015-09-03,14,21428.697,AQEW_MWh
2016-2017,1,2016-08-10,18,22636.692,AQEW_MWh
2016-2017,2,2016-09-07,17,22526.876,AQEW_MWh
2016-2017,3,2016-08-11,17,22317.771,AQEW_MWh
2016-2017,4,2016-07-13,18,22188.464,AQEW_MWh
2016-2017,5,2016-08-12,17,21904.371,AQEW_MWh
2017-2018,1,2017-09-25,17,21170.494,AQEW_MWh
2017-2018,2,2017-09-26,17,21038.558,AQEW_MWh
2017-2018,3,2017-06-12,17,20701.997,AQEW_MWh
2017-2018,4,2018-01-05,18,20238.28,AQEW_MWh
2017-2018,5,2017-07-19,18,20122.46,AQEW_MWh
2018-2019,1,2018-09-05,17,22551.315,AQEW_MWh
2018-2019,2,2018-07-05,15,22415.022,AQEW_MWh
2018-2019,3,2018-07-04,18,22122.73,AQEW_MWh
2018-2019,4,2018-08-28,17,21643.799,AQEW_MWh
2018-2019,5,2018-09-04,17,21379.327,AQEW_MWh
2019-2020,1,2019-07-05,17,21274.851,AQEW_MWh
2019-2020,2,2019-07-20,17,21147.253,AQEW_MWh
2019-2020,3,2019-07-29,17,21067.57,AQEW_MWh
2019-2020,4,2019-07-19,12,21006.403,AQEW_MWh
2019-2020,5,2019-07-04,18,20956.127,AQEW_MWh
2020-2021,1,2020-07-09,17,23936.069,AQEW_MWh
2020-2021,2,2020-07-07,17,23557.52,AQEW_MWh
2020-2021,3,2020-07-27,17,23319.214,AQEW_MWh
2020-2021,4,2020-07-10,14,23270.848,AQEW_MWh
2020-2021,5,2020-07-08,18,23239.833,AQEW_MWh
2021-2022,1,2021-08-24,17,22428.11,AQEW_MWh
